Name,Algorithm,Time,Visited states,Min colors,Algorithm,Time,Visited states,Min colors
fpsol2.i.3.col,BT,1.936567068,410,30,FW,61.96520853,117,30
games120.col,BT,0.015617132,89,9,FW,0.564031601,57,9
huck.col,BT,0.015623093,50,11,FW,0.147219658,24,11
inithx.i.1.col,BT,17.8967731,4791,54,FW,166.6939974,338,54
inithx.i.2.col,BT,3.106449366,54,31,FW,142.4691479,39,31
inithx.i.3.col,BT,3.221449852,54,31,FW,138.5858808,39,31
jean.col,BT,0,73,10,FW,0.13812995,28,10
myciel3.col,BT,0.01561451,13,4,FW,0.015630722,9,4
myciel4.col,BT,0,24,5,FW,0.031200886,17,5
myciel5.col,BT,0,44,6,FW,0.053462982,30,6
myciel6.col,BT,0.031280994,69,7,FW,0.254148483,39,7
myciel7.col,BT,0.084618568,144,8,FW,0.786219358,42,8
queen10_10.col,BT,0.184938669,116,14,FW,4.629947901,95,15
queen11_11.col,BT,0.338748932,125,15,FW,7.224758863,101,17
queen12_12.col,BT,0.615668535,151,16,FW,18.11441922,141,18
queen7_7.col,BT,0.015622616,48,10,FW,0.642643929,34,10
queen8_12.col,BT,0.046906948,107,14,FW,1.674397945,73,14
queen8_8.col,BT,0.037828922,59,11,FW,1.268820047,40,11
queen9_9.col,BT,0.100311756,79,12,FW,1.250550747,72,14
zeroin.i.2.col,BT,0.222872496,84,30,FW,6.993022203,52,30
zeroin.i.3.col,BT,0.231855869,84,30,FW,6.946954727,52,30
